Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 04/27  15:10:00,27449.355190974,27449.355190974,0.0,,,,,,,418283.55092294988,50307.334954919,0.0 
 04/27  15:20:00,27449.355190974,27449.355190974,0.0,,,,,,,410600.1730224867,50307.334954919,0.0 
 04/27  15:30:00,27449.355190974,27449.355190974,0.0,,,,,,,402954.05687207,50307.334954919,0.0 
 04/27  15:40:00,27449.355190974,27449.355190974,0.0,,,,,,,394532.85588814687,50307.334954919,0.0 
 04/27  15:50:00,27449.355190974,27449.355190974,0.0,,,,,,,386116.93282141737,50307.334954919,0.0 
 04/27  16:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2388720.7601003416,301844.009729514,0.0,376233.1905732702,50307.334954919,0.0 
 04/27  16:10:00,37141.78927803,37141.78927803,0.0,,,,,,,362841.69859091987,50307.334954919,0.0 
 04/27  16:20:00,37141.78927803,37141.78927803,0.0,,,,,,,349912.2472119696,50307.334954919,0.0 
 04/27  16:30:00,37141.78927803,37141.78927803,0.0,,,,,,,337823.2282073791,50307.334954919,0.0 
 04/27  16:40:00,37141.78927803,37141.78927803,0.0,,,,,,,324205.1100848858,50307.334954919,0.0 
 04/27  16:50:00,37141.78927803,37141.78927803,0.0,,,,,,,309495.4491817416,50307.334954919,0.0 
 04/27  17:00:00,37141.78927803,37141.78927803,0.0,222850.73566818,222850.73566818,0.0,1979349.8195795774,301844.009729514,0.0,295072.08630268168,50307.334954919,0.0 
 04/27  17:10:00,49005.584629506004,49005.584629506004,0.0,,,,,,,287034.26075618839,50307.334954919,0.0 
 04/27  17:20:00,49005.584629506004,49005.584629506004,0.0,,,,,,,276622.29882664777,50307.334954919,0.0 
 04/27  17:30:00,49005.584629506004,49005.584629506004,0.0,,,,,,,265863.011224309,50307.334954919,0.0 
 04/27  17:40:00,49005.584629506004,49005.584629506004,0.0,,,,,,,254598.12204664493,50307.334954919,0.0 
 04/27  17:50:00,49005.584629506004,49005.584629506004,0.0,,,,,,,243488.88077340299,50307.334954919,0.0 
 04/27  18:00:00,49005.584629506004,49005.584629506004,0.0,294033.507777036,294033.507777036,0.0,1559953.4598314618,301844.009729514,0.0,232346.8862042689,50307.334954919,0.0 
 04/27  18:10:00,252893.07222529248,129468.85869518403,123424.21353010845,,,,,,,350255.51623643925,60070.071318431736,0.0 
 04/27  18:20:00,301719.02823441955,129468.85869518403,172250.16953923554,,,,,,,363811.5073233141,60070.07131843174,0.0 
 04/27  18:30:00,343790.26869518405,129468.85869518403,214321.41000000004,,,,,,,368278.3275252016,60070.07131843174,0.0 
 04/27  18:40:00,343790.26869518405,129468.85869518403,214321.41000000004,,,,,,,358674.7934962515,60070.07131843174,0.0 
 04/27  18:50:00,343790.26869518405,129468.85869518403,214321.41000000004,,,,,,,349270.76735532566,60070.071318431736,0.0 
 04/27  19:00:00,343790.26869518405,129468.85869518403,214321.41000000004,1929773.1752404483,776813.1521711041,1152960.023069344,2130642.3521322945,360420.4279105905,0.0,340351.4401957623,60070.071318431736,0.0 
 04/27  19:10:00,353482.70278224008,139161.29278224003,214321.41000000004,,,,,,,331274.9837928163,60070.07131843174,0.0 
 04/27  19:20:00,353482.70278224008,139161.29278224003,214321.41000000004,,,,,,,322143.99921655797,60070.07131843174,0.0 
 04/27  19:30:00,353482.70278224008,139161.29278224003,214321.41000000004,,,,,,,312976.884404208,60070.07131843174,0.0 
 04/27  19:40:00,353482.70278224008,139161.29278224003,214321.41000000004,,,,,,,303791.98565606129,60070.07131843174,0.0 
 04/27  19:50:00,353482.70278224008,139161.29278224003,214321.41000000004,,,,,,,294660.9140063619,60070.07131843174,0.0 
 04/27  20:00:00,353482.70278224008,139161.29278224003,214321.41000000004,2120896.2166934406,834967.7566934403,1285928.4600000005,1850515.9122321089,360420.4279105905,0.0,285667.1451561034,60070.07131843174,0.0 
 04/27  20:10:00,350442.83396982008,136121.42396982003,214321.41000000004,,,,,,,273508.19249359107,60070.07131843174,0.0 
 04/27  20:20:00,350442.83396982008,136121.42396982003,214321.41000000004,,,,,,,264706.95332907818,60070.071318431736,0.0 
 04/27  20:30:00,350442.83396982008,136121.42396982003,214321.41000000004,,,,,,,256441.60949487025,60070.07131843174,0.0 
 04/27  20:40:00,350442.83396982008,136121.42396982003,214321.41000000004,,,,,,,247934.7461345903,60070.07131843174,0.0 
 04/27  20:50:00,350442.83396982008,136121.42396982003,214321.41000000004,,,,,,,239773.88783133654,60070.07131843174,0.0 
 04/27  21:00:00,350442.83396982008,136121.42396982003,214321.41000000004,2102657.0038189205,816728.5438189202,1285928.4600000005,1513279.2353215689,360420.4279105905,0.0,230913.8460381023,60070.07131843174,0.0 
 04/27  21:10:00,339447.59236355408,125126.18236355404,214321.41000000004,,,,,,,222453.0434299051,60070.07131843174,0.0 
 04/27  21:20:00,339447.59236355408,125126.18236355404,214321.41000000004,,,,,,,215682.52413946237,60070.07131843174,0.0 
 04/27  21:30:00,339447.59236355408,125126.18236355404,214321.41000000004,,,,,,,209160.58366534304,60070.07131843174,0.0 
 04/27  21:40:00,339447.59236355408,125126.18236355404,214321.41000000004,,,,,,,202825.99915364438,60070.07131843174,0.0 
 04/27  21:50:00,339447.59236355408,125126.18236355404,214321.41000000004,,,,,,,197768.7080752596,60070.07131843174,0.0 
 04/27  22:00:00,339447.59236355408,125126.18236355404,214321.41000000004,2036685.5541813244,750757.0941813242,1285928.4600000005,1240796.6037812199,360420.4279105905,0.0,192905.74531760528,60070.07131843174,0.0 
 04/27  22:10:00,37141.78927803,37141.78927803,0.0,,,,,,,36387.2973017322,50307.334954919,0.0 
 04/27  22:20:00,37141.78927803,37141.78927803,0.0,,,,,,,25285.7406222197,50307.334954919,0.0 
 04/27  22:30:00,37141.78927803,37141.78927803,0.0,,,,,,,16409.11895116136,50307.334954919,0.0 
