,insulation,ach,shading,orientation,wwr,Electricity:Facility,DistrictCooling:Facility
67,0.2,5,120,0,0.2931034482758621,3850192758.1043544,7646267155.824274
68,0.2,5,120,0,0.3206896551724138,3822551370.0981092,7733674891.54924
69,0.2,5,120,0,0.34827586206896555,3791491550.3564434,7834191389.792766
70,0.2,5,120,0,0.3758620689655173,3764237105.237208,7925393129.04885
71,0.2,5,120,0,0.403448275862069,3742575857.7395525,7999374934.952336
72,0.2,5,120,0,0.4310344827586208,3712721922.5126686,8103544570.592812
73,0.2,5,120,0,0.45862068965517244,3692276215.392614,8177587673.068417
74,0.2,5,120,0,0.4862068965517242,3664143012.884263,8282959540.155445
75,0.2,5,120,0,0.5137931034482759,3644651078.446707,8359398694.139492
76,0.2,5,120,0,0.5413793103448277,3627788402.5887265,8435749288.544462
77,0.2,5,120,0,0.5689655172413793,3605753589.393724,8550023623.861778
78,0.2,5,120,0,0.5965517241379311,3592060499.5041075,8643318357.1649
79,0.2,5,120,0,0.6241379310344828,3580685583.84311,8731182600.214169
80,0.2,5,120,0,0.6517241379310346,3571535379.0180607,8817091829.077324
81,0.2,5,120,0,0.6793103448275862,3558811447.8283195,8951444261.946487
82,0.2,5,120,0,0.706896551724138,3551720335.20348,9045369914.165758
83,0.2,5,120,0,0.7344827586206897,3544443275.6668987,9145143567.6961
84,0.2,5,120,0,0.7620689655172415,3538285434.5167084,9237821982.890362
85,0.2,5,120,0,0.7896551724137931,3532822755.0621696,9327811322.88677
86,0.2,5,120,0,0.8172413793103449,3526738844.891218,9433716328.641174
87,0.2,5,120,0,0.8448275862068966,3521571243.3006573,9532266312.076954
88,0.2,5,120,0,0.8724137931034484,3516987236.1535645,9629480263.214355
89,0.2,5,120,0,0.9,3512692320.8739295,9731948866.46288
90,1e-05,5,120,90,0.1,4101614435.932656,9833160365.53723
91,1e-05,5,120,90,0.12758620689655173,4058106526.6071167,9893523195.919294
92,1e-05,5,120,90,0.15517241379310345,4012508615.6290226,9957477984.387718
93,1e-05,5,120,90,0.1827586206896552,3981319465.7363253,10018853126.410206
94,1e-05,5,120,90,0.21034482758620693,3953394150.3503637,10103456683.907532
95,1e-05,5,120,90,0.23793103448275865,3930842641.278844,10182183283.908897
96,1e-05,5,120,90,0.2655172413793104,3909653099.729807,10260721381.72531
97,1e-05,5,120,90,0.2931034482758621,3894397537.7825236,10319664758.148468
98,1e-05,5,120,90,0.3206896551724138,3875006073.761426,10398145226.08481
99,1e-05,5,120,90,0.34827586206896555,3852711374.136588,10492844152.335861
100,1e-05,5,120,90,0.3758620689655173,3832925188.5613117,10576674850.27213
101,1e-05,5,120,90,0.403448275862069,3816987084.1516147,10642507922.359432
102,1e-05,5,120,90,0.4310344827586208,3794808980.459091,10738540743.076273
103,1e-05,5,120,90,0.45862068965517244,3779316222.566128,10807774399.454634
104,1e-05,5,120,90,0.4862068965517242,3757340277.2133117,10903520937.530857
105,1e-05,5,120,90,0.5137931034482759,3741432135.5126886,10972270568.541111
106,1e-05,5,120,90,0.5413793103448277,3726645934.9123526,11038770127.399752
107,1e-05,5,120,90,0.5689655172413793,3704208776.8645067,11141390859.882181
108,1e-05,5,120,90,0.5965517241379311,3687345640.66381,11218742400.42659
109,1e-05,5,120,90,0.6241379310344828,3671257774.3107433,11293415986.92512
110,1e-05,5,120,90,0.6517241379310346,3656856600.8813076,11365615157.804989
111,1e-05,5,120,90,0.6793103448275862,3635534451.021067,11481525816.700739
112,1e-05,5,120,90,0.706896551724138,3623477647.7623787,11560516020.271225
113,1e-05,5,120,90,0.7344827586206897,3611361306.8407,11645913915.386452
114,1e-05,5,120,90,0.7620689655172415,3601259009.9567766,11728104837.918642
115,1e-05,5,120,90,0.7896551724137931,3592685417.563362,11806717368.571331
116,1e-05,5,120,90,0.8172413793103449,3583330689.282844,11901035158.265549
117,1e-05,5,120,90,0.8448275862068966,3575487906.163835,11990867641.955746
118,1e-05,5,120,90,0.8724137931034484,3568559733.70249,12078043912.292759
119,1e-05,5,120,90,0.9,3562109814.4425764,12168623058.301777
120,0.1,5,120,90,0.1,4101614435.932656,7506337268.949183
121,0.1,5,120,90,0.12758620689655173,4058106526.6071167,7585079381.357144
122,0.1,5,120,90,0.15517241379310345,4012508615.6290226,7667852011.148497
123,0.1,5,120,90,0.1827586206896552,3981319465.7363253,7746026750.761995
124,0.1,5,120,90,0.21034482758620693,3953394150.3503637,7853771758.175865
125,0.1,5,120,90,0.23793103448275865,3930842641.278844,7949684290.478132
126,0.1,5,120,90,0.2655172413793104,3909653099.729807,8046028554.052158
